Informazioni cronologiche,Which continent are you from?,Gender,Age,Education degree,"On avarage, how much time do you spend  playing video games per day  ?",What style of video game do you prefer?,"If you selected ""Other"", please specify here",Do you believe video games are a form of art?,"If you selected ""It depends,"" you can specify here.",Is there a video game that has taught you something useful for your academic or professional education?,"If you pressed ""Yes,"" please write which video games have been more useful to you.",Which device do you prefer when it comes to gaming?,"
If you selected ""Other,"" please specify here",Which video games do you believe have enriched you culturally regarding mythology or history?,"If you selected ""Other,"" please respond here","
Do you think it's possible to use video games that have not been designed for educational purposes as educational tools?","If you selected ""It depends,"" you can specify here",Do you believe online video games can facilitate connections between people and offer an alternative to traditional social interaction?,"If you selected ""It depends,"" you can specify here.",Have you ever thought about creating a video game?,"Do you think a video game has inspired you to deepen your knowledge on a subject (for example, literary, cultural, historical, social, scientific, artistic, etc.)?","
Have you ever learned another language or improved your language skills through video games, both online and in single-player mode?","
If you selected ""Other,"" please specify here","In your opinion, is it possible to compare the narrative importance of a video game to that of more traditional media such as books, films, or animation products?",Do you believe that video games have taught you to solve problems in a creative and original way (problem solving)?,"Do you engage in  sport or physical activity?
","Do you think Esports (electronic sports) can be considered a professional practice (for example, League of legends, Counter-strike, Street fighter, StarCraft, Assetto Corsa)?","
Have you improved your social skills thanks to video games? (e.g., communication, expression, empathy, etc.)","Do you prefer the company of people who don't play video games, or of people who share this passion with you?"
02/03/2024 23.16.48,America,Female,Millennials (1981-1996),High school diploma or equivalent,2-3 hours,Both,,Yes,,I don't know,,"Console, Portable consoles, PC",,Sid Meier's Civilization,,Yes,,Yes,,Yes,No,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
02/03/2024 23.41.54,America,Male,Millennials (1981-1996),Bachelor's degree or higher,4-6 hours,Single player,,Yes,,I don't know,,PC,,Sid Meier's Civilization,,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
03/03/2024 5.42.42,America,Male,Millennials (1981-1996),High school diploma or equivalent,4-6 hours,Single player,,Yes,,I don't know,,"Console, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Immortals fenyx rising",,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I prefer the company of gamers
03/03/2024 14.58.16,America,Male,Millennials (1981-1996),High school diploma or equivalent,4-6 hours,Both,,Yes,,I don't know,,"Console, Cloud",,"Age of Empire, Ryse son of rome",,Yes,,Yes,,No,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,No,I prefer the company of gamers
03/03/2024 15.14.46,Europe,I prefer not to specify it,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,Portal (2007),PC,,Sid Meier's Civilization,,Yes,,It depends (please specify),"Question is a bit vague. If ""traditional social interaction"" means interacting in real-life then I think video games and communities are a different (valid) kind of social interaction. Not sure if they substitute ""traditional"" ones completely.",Yes,Yes,"No, I haven't learned another language.",,Yes,No,Rarely or almost never.,Yes,No,I have no preference
03/03/2024 15.55.39,Asia,Male,Generation Z (1997-2012),Middle school diploma,7 hours or more,Both,,Yes,,Yes,,PC,,"Assassin's creed (saga), God of war (saga norrena)",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
03/03/2024 16.08.37,Oceania,Female,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,"tears of themis, games similar anything to do with law and using law","Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,No,Yes,I prefer the company of gamers
03/03/2024 17.17.36,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Both,,Yes,,Yes,Puzzle games such as Portal and The Witness have improved my spatial reasoning and non-linear thinking ability,PC,,"Hades, Other (please specify)","Ultrakill, Warframe, Dark Souls/Elden Ring",Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
03/03/2024 17.20.22,America,Female,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Single player,,Yes,,Yes,"Kerbal Space Program for learning the basics of Physics and Aerospace engineering, Portal 1 and 2 for puzzle solving skills, PC Building Simulator is obvious, Outer Wilds for learning the physics of outer space and space travel, Microsoft Flight Simulator 2020 is also obvious, Human Resource Machine for learning the basics of coding, and TIS-100 for learning the basics of assembly coding. ","Console, PC, VR",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
03/03/2024 17.25.32,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,Soulslike genre ,"Console, PC",,"Assassin's creed (saga), Sid Meier's Civilization",,"Yes, and I use them",,It depends (please specify),,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every day.",No,Yes,I have no preference
03/03/2024 17.30.30,Europe,Male,Generation Z (1997-2012),Middle school diploma,4-6 hours,Single player,,Yes,,I don't know,,"Portable consoles, PC, Smartphone /Tablet",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,No,I prefer the company of gamers
03/03/2024 17.46.18,America,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Both,,It depends (please specify),"It depends on the game, intentions of developers, and definition of art. ",No,,"Console, PC",,"Assassin's creed (saga), Hades",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,No,Rarely or almost never.,Yes,Yes,I have no preference
03/03/2024 18.39.59,America,Male,Millennials (1981-1996),High school diploma or equivalent,Less than an hour,Single player,,Yes,,Yes,"There are games that discuss themes and events. Xenosaga, Xenogears, Soma, ",Console,,"Age of Empire, Sid Meier's Civilization",,It depends (please specify),"If using a game set in historical times, comparing the liberties taken with the history with the real occurrence, can teach history. Using themes in video games to discuss literature. Discussing game mechanics to understand gradual. ",It depends (please specify),It has to be balanced. Can’t live online ,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
03/03/2024 20.19.57,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,4-6 hours,Both,,Yes,,I don't know,,PC,,"God of War (saga Greca), Hades",,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
03/03/2024 22.31.08,Europe,Male,Millennials (1981-1996),Middle school diploma,2-3 hours,Single player,,Yes,,I don't know,,PC,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Ryse son of rome",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,No,Yes,I have no preference
03/03/2024 22.53.22,America,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,Yes,"It can be argued that souls and souls-like games can teach you the importance of perseverance and determination due to the difficulty of the game. Personally, Elden Ring and Lies of P have done that for me. ",Console,,"God of War (saga Greca), God of war (saga norrena), Other (please specify)","Lies of P can work as a philosophical framework to pose the question of what it means to be human. More specifically, it argues that lies are what makes us human rather than puppets of our reality. ",It depends (please specify),They require their themes and messages to be explored in depth after experiencing them. It is harder to learn from a video game without experiencing it,Yes,,Yes,Yes,Other (Specify),I want to learn French in order to understand the record songs from Lies of P,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
04/03/2024 2.42.26,America,Male,Millennials (1981-1996),Bachelor's degree or higher,Less than an hour,Both,,Yes,,No,,PC,,"Assassin's creed (saga), Hades",,No,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,Yes,I prefer the company of gamers
04/03/2024 3.20.43,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,Less than an hour,Single player,,Yes,,No,,PC,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,I refrain from judgment.,,No,No,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,No,I prefer the company of non-gamers
