Informazioni cronologiche	Genere 	Età	Ruolo al interno della scuola 	Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?	Quale stile di videogioco preferisci di più?	Credi che i videogiochi siano una forma d'arte?	Se hai premuto "Dipende" puoi specificare qui	C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  	Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile 	 Qual è il dispositivo che preferisci utilizzare per giocare?	Se hai premuto "Altro" rispondi qui 	 Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?	Se hai premuto "Altro" rispondi qui 	Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?	Se hai premuto "Dipende" puoi specificare qui	 Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?	Sei hai premuto "Dipende" puoi specificare qui 	Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?	Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?	Sei hai premuto Altro specifica qui	Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  	Solo professori: Quale è la vostra opinione sui videogiochi? Li considerate principalmente una perdita di tempo o credete che abbiano anche dei lati positivi da prendere in considerazione?	Solo per i professori: Vi siete mai interessati al medium videoludico al di là delle notizie sui giornali, telegiornali o simili?	Solo per studenti: Hai notato una tendenza nella tua scuola dove alcuni professori denigrano il medium videoludico o mostrano riluttanza nei confronti di questo tipo di medium?	Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
03/06/2024 18.49.18	Donna	Generazione Z (1997-2012)	Studente	1-2 ore	Single player	No		No		Smartphone /Tablet		Nessuno		No		No		No	No non ho imparato un altra lingua		No		Non gioco ai videogiochi	Si	Non ho preferenze
03/06/2024 18.51.40	Donna	Generazione Z (1997-2012)	Studente	Mai	Entrambi	Si		Non saprei		Non gioco ai Videogiochi		Nessuno		Si		Si		Si	Ho potenziato le conoscenze di un altra lingua		Si		Non gioco ai videogiochi	Non ho visto astio ne interesse	Non ho preferenze
03/06/2024 18.52.36	Donna	Generazione Z (1997-2012)	Studente	Mai	Nessuno	Si		No		Smartphone /Tablet		Nessuno		No		No		No	No non ho imparato un altra lingua		No		Non gioco ai videogiochi	No	Non gioco ai videogiochi
03/06/2024 19.25.02	Uomo	Generazione Z (1997-2012)	Studente	4-6 ore	Single player	Si		Si	Assassins creed odissey	Console		Assassin's creed (saga)		Si		Si		Si	Ho potenziato le conoscenze di un altra lingua		Si		No	No	Non ho preferenze
03/06/2024 19.40.58	Donna	Generazione X (1965-1980)	Professore	Mai	Nessuno	Si		No		Non gioco ai Videogiochi		Nessuno		Si		Si		No	No non gioco ai videogiochi		Si	Credo che abbiano dei lati positivi e che, sapendoli utilizzare, possano essere utili per la didattica	No		Non gioco ai videogiochi
03/06/2024 19.41.07	Uomo	Generazione X (1965-1980)	Professore	Meno di un’ora	Single player	Si		No		Smartphone /Tablet		Nessuno		Si		No		Si	Ho potenziato le conoscenze di un altra lingua		Si	POSSONO AVERE ANCHE ALTRE FINALITA' DIPENDE SEMPRE DA COME E PER QUANTO TEMPO VENGONO UTILIZZATI . SE PRODUCONO UN APPROFONDIMENTO O SONO SOLO UN MOMENTO DI EVASIONE MENTALE DA IMPEGNI E RESPONSABILITA'	No		Non ho preferenze
03/06/2024 21.33.36	Donna	Baby boomers (1946-1964)	Professore	Non gioco regolarmente	Single player	No		No		Smartphone /Tablet		Nessuno		Si		No		No	No non ho imparato un altra lingua		No	Credo che possano essere un momento di svago ma giusto un momento.	No		Preferisco la compagnia di chi non videogioca
04/06/2024 1.31.34	Donna	Baby boomers (1946-1964)	Professore	Non gioco regolarmente	Single player	No		No		Smartphone /Tablet		Nessuno		Dipende (Specifica)	Dipende dal tipo di obiettivi  che il gioco si prefigge.	No		No	No non gioco ai videogiochi		No	Ritengo che possano essere un utile passatempo ma devono essere calibrati e dosati, e non possono sostituire in alcun modo il gioco fatto di relazioni immediate e dirette.	No		Preferisco la compagnia di chi non videogioca
04/06/2024 7.37.49	Donna	Millennials (1981-1996)	Professore	Mai	Nessuno	Si		No		Non gioco ai Videogiochi		Nessuno		No		No		No	No non gioco ai videogiochi		No	Credo abbiano assolutamente dei lati positivi che riguardano sicuramente le conoscenze talvolta culturali e talvolta meramente estetico e grafico. Pur essendo una sorta "di film interattivo", una realtà vivibile in cui si possa effettivamente interagire, a differenza della realtà deleterea dei social, purtroppo i ragazzi spesso si fermano alla superficie del tutto, vivendoli per inerzia e con passività 	Non gioco ai videogiochi		Non ho preferenze
04/06/2024 8.05.39	Donna	Generazione X (1965-1980)	Professore	2-3 ore	Nessuno	No		No		Non gioco ai Videogiochi		Nessuno		Si		Si		No	Si ho imparato un'altra lingua		No	hanno anche dei lati positivi	Si		Preferisco la compagnia di chi non videogioca
